name,latitude,longitude,Initial Condition
A-15-A,40.96217749,-105.3673032,Open - No Repair
A-15-R,40.93664259,-105.3422041,Open - No Repair
A-15-U,40.91973677,-105.3258089,Open - No Repair
A-15-Z,40.86855958,-105.2648951,Open - No Repair
A-16-C,40.8260368,-105.2423995,Open - No Repair
A-17-AC,40.94598569,-104.9254247,Repairs Needed - Structure is Stable
A-17-AD,40.94615869,-104.9257231,Repairs Needed - Structure is Stable
A-17-AQ,40.94582944,-104.9252171,Open - No Repair
A-17-AT,40.90587964,-104.9415955,Open - No Repair
A-17-AX,40.749579,-104.992979,Open - No Repair
A-17-AY,40.749533,-104.992523,Open - No Repair
A-17-B,40.76508638,-104.7913156,Open - No Repair
A-17-C,40.8707976,-104.7946594,Open - No Repair
A-17-Q,40.98930023,-104.9106059,Open - No Repair
A-17-S,40.749585,-104.992546,Repairs Needed - Structure is Stable
A-17-U,40.98923042,-104.9103659,Open - No Repair
A-17-W,40.96929854,-104.7904765,Open - No Repair
A-17-X,40.92792274,-104.8021161,Open - No Repair
A-17-Y,40.93076101,-104.8003272,Repairs Needed - Structure is Stable
C-16-AE,40.41076705,-105.166085,Repairs Needed - Structure is Stable
A-22-E,40.774259,-103.68817,Open - No Repair
A-25-AR,40.84272,-102.805095,Open - No Repair
A-25-AS,40.84161857,-102.8050623,Open - No Repair
A-25-AT,40.83800831,-102.8049971,Open - No Repair
A-25-AU,40.83687212,-102.8049745,Open - No Repair
A-25-H,40.79109935,-102.9865175,Open - No Repair
A-26-BA,40.926309,-102.517657,Open - No Repair
A-28-M,40.97857326,-102.255106,Repairs Needed - Structure is Stable
A-28-N,40.97715436,-102.2540432,Repairs Needed - Structure is Stable
A-28-O,40.9750811,-102.2524832,Repairs Needed - Structure is Stable
A-28-P,40.9733181,-102.2511583,Repairs Needed - Structure is Stable
B-13-D,40.634159,-105.806755,Open - No Repair
B-13-H,40.57793,-105.856991,Open - No Repair
B-13-Q,40.651752,-105.810086,Open - No Repair
B-14-O,40.69008407,-105.5098611,Open - No Repair
B-14-P,40.699891,-105.5445349,Open - No Repair
B-15-B,40.68580778,-105.3035846,Open - No Repair
B-15-I,40.68957547,-105.3492063,Open - No Repair
B-15-Y,40.67555576,-105.416134,Open - No Repair
B-16-AB,40.56372222,-104.9995722,Open - No Repair
