seq,reward
44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,11-20-8-29
44_CaDo_C4_M0,25
55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0,27-30-24-44-32-23-21-38-41-30-23
44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,10-17-78
55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0,37-73-11-44-47-19-8-22-32-8-20-29-21
44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,23-19-24-58-27-26-27-40-19-19-51-32
66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0,59-16-55-18-22-27-27-18-75-20-20-36-17
66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,49-29-26-45-26-22-29-68-22-21-55
66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0,65-18-20-20-15-11-32-57-16-118-16-19-16
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,8-55-17-8-8-8-18-9-17-8-100-17-18-9-30
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,19-46-11
66_BrNoBrG_C12_M0,12
44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,16-20-64-20-39-68
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,28-20-20-144-8-68-120-8-8-8-72-109
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,40-19-8-48-19-15-15-21-18-17-17-33-40
66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,38-20-24-25-23-31-17-28-25-19-17-20-21-31
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,8-25-27-16-19-16-26-16-38-19-36-23-9-8-24
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,34-59-8-45-8-68-68-72-18-18-42-26-38
